source_document,source_page,source_citation,measurement_name,body_region,measurement_method_note,population,country,sex,age_group,sample_size,stat_type,percentile,value_cm,value_mm,value_in,data_quality_note
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Index finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,max,,6.84,68.4,2.6929,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Index finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,mean,,6.65,66.5,2.6181,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Index finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,std_dev,,0.28,2.8,0.1102,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Index finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,min,,6.18,61.8,2.4331,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Index finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,max,,7.11,71.1,2.7992,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Middle finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,mean,,6.79,67.9,2.6732,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Middle finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,std_dev,,0.34,3.4,0.1339,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Middle finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,min,,6.24,62.4,2.4567,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Middle finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,max,,7.65,76.5,3.0118,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Middle finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,mean,,7.53,75.3,2.9646,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Middle finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,std_dev,,0.37,3.7,0.1457,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Middle finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,min,,6.94,69.4,2.7323,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Middle finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,max,,8.05,80.5,3.1693,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Ring finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,mean,,6.3,63.0,2.4803,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Ring finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,std_dev,,0.33,3.3,0.1299,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Ring finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,min,,5.69,56.9,2.2402,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Ring finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,max,,7.01,70.1,2.7598,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Ring finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,mean,,7.06,70.6,2.7795,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Ring finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,std_dev,,0.31,3.1,0.122,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Ring finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,min,,6.61,66.1,2.6024,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Ring finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,max,,7.6,76.0,2.9921,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Little finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,mean,,5.14,51.4,2.0236,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Little finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,std_dev,,0.28,2.8,0.1102,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Little finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,min,,4.5,45.0,1.7717,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Little finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,female,18-30,32,max,,5.65,56.5,2.2244,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Little finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,mean,,5.85,58.5,2.3031,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Little finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,std_dev,,0.26,2.6,0.1024,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Little finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,min,,5.4,54.0,2.126,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310",Finger length (right hand) - Little finger,hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,male,18-30,19,max,,6.3,63.0,2.4803,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Thumb",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,mean,,5.09,50.9,2.0039,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Thumb",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,std_dev,,0.57,5.7,0.2244,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Thumb",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,min,,3.93,39.3,1.5472,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Thumb",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,max,,6.8,68.0,2.6772,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Index finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,mean,,6.45,64.5,2.5394,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Index finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,std_dev,,0.43,4.3,0.1693,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Index finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,min,,5.62,56.2,2.2126,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Index finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,max,,7.33,73.3,2.8858,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Ring finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,mean,,6.58,65.8,2.5906,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Ring finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,std_dev,,0.49,4.9,0.1929,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Ring finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,min,,5.69,56.9,2.2402,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Ring finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,max,,7.61,76.1,2.9961,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Little finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,mean,,5.26,52.6,2.0709,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Little finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,std_dev,,0.43,4.3,0.1693,
Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications,5,"Chatzioglou GN, Pinar Y, Govsa F. (2024). Biometric analysis hand parameters in young adults for prosthetic hand and ergonomic product applications. Anatomy & Cell Biology, 57:172-182. https://doi.org/10.5115/acb.23.310","Finger length (combined, right hand) - Little finger",hand,Photo-anthropometric (ImageJ); right-hand dominant side; finger length = first proximal palmar crease to distal phalanx tip; values in mm,Young adults (age 18-30),Turkey,combined,18-30,51,min,,4.4,44.0,1.7323,
